Player,Nation,Pos,Squad,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Past,Press,Succ,%,Def 3rd,Mid 3rd,Att 3rd,Blocks,Sh,ShSv,Pass,Int,Tkl+Int,Clr,Err
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,9,4,6,2,1,5,8,62.5,3,31,12,38.7,15,13,3,3,0,0,3,4,13,9,1
Lewis Dunk,eng ENG,DF,Brighton,29,1991,28.6,20,11,9,10,1,6,13,46.2,7,125,48,38.4,74,41,10,42,27,0,15,46,66,119,3
Ederson,br BRA,GK,Manchester City,27,1993,37,0,0,0,0,0,0,2,0,2,5,0,0,5,0,0,0,0,0,0,0,0,0,1
Odsonne Édouard,fr FRA,FW,Crystal Palace,23,1998,17.4,17,13,2,7,8,2,19,10.5,17,354,106,29.9,45,146,163,24,5,0,19,10,27,17,0
CJ Egan-Riley,eng ENG,DF,Manchester City,18,2003,0,1,1,1,0,0,1,1,100,0,0,0,,0,0,0,0,0,0,0,0,1,0,0
Anthony Elanga,se SWE,FW,Manchester Utd,19,2002,13.5,25,17,12,10,3,8,26,30.8,18,289,80,27.7,93,124,72,24,2,0,22,19,44,6,0
Harvey Elliott,eng ENG,MF,Liverpool,18,2003,3.8,3,1,1,0,2,1,7,14.3,6,94,21,22.3,21,50,23,9,1,0,8,3,6,4,0
Mohamed Elneny,eg EGY,MF,Arsenal,29,1992,9,17,9,10,6,1,3,7,42.9,4,108,38,35.2,49,50,9,9,1,0,8,18,35,12,0
Mohamed Elyounoussi,no NOR,MFFW,Southampton,26,1994,22.7,46,33,14,24,8,10,31,32.3,21,499,156,31.3,144,235,120,37,4,0,33,19,65,24,0
Emerson,br BRA,DF,Tottenham,22,1999,25.4,86,39,56,24,6,28,60,46.7,32,500,126,25.2,245,177,78,56,4,0,52,35,121,79,0
Christian Eriksen,dk DEN,MF,Brentford,29,1992,10.4,18,10,7,8,3,9,13,69.2,4,150,32,21.3,38,86,26,13,1,0,12,10,28,11,0
Oghenekaro Etebo,ng NGA,MF,Watford,25,1995,4.5,12,10,5,7,0,4,7,57.1,3,65,22,33.8,29,32,4,5,1,0,4,8,20,6,0
Jonny Evans,nir NIR,DF,Leicester City,33,1988,15,27,18,18,7,2,16,28,57.1,12,123,49,39.8,77,41,5,22,13,0,9,31,58,61,0
Eberechi Eze,eng ENG,MFFW,Crystal Palace,23,1998,6.7,10,5,4,3,3,6,12,50,6,86,24,27.9,18,48,20,7,1,0,6,8,18,1,0
Łukasz Fabiański,pl POL,GK,West Ham,36,1985,37,0,0,0,0,0,0,0,,0,1,1,100,1,0,0,0,0,0,0,0,0,0,0
Fabinho,br BRA,MF,Liverpool,27,1993,25.7,57,37,17,33,7,19,62,30.6,43,413,131,31.7,126,225,62,51,10,0,41,56,113,30,0
Kiko Femenía,es ESP,DF,Watford,30,1991,23.8,43,26,29,11,3,24,41,58.5,17,227,75,33,112,85,30,39,10,0,29,63,106,61,0
Evan Ferguson,ie IRL,MF,Brighton,16,2004,0.3,0,0,0,0,0,0,0,,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
Nathan Ferguson,eng ENG,DF,Crystal Palace,20,2000,0.1,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Bruno Fernandes,pt POR,MF,Manchester Utd,26,1994,34.6,59,45,30,22,7,24,74,32.4,50,610,172,28.2,120,290,200,29,0,0,29,38,97,40,3
Álvaro Fernández,es ESP,GK,Brentford,23,1998,12,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,2
Federico Fernández,ar ARG,DF,Newcastle Utd,32,1989,5.8,1,1,0,1,0,0,6,0,6,33,4,12.1,21,9,3,11,9,0,2,13,14,23,0
Fernandinho,br BRA,MFDF,Manchester City,36,1985,10.7,23,16,8,13,2,6,19,31.6,13,130,45,34.6,42,74,14,6,3,0,3,14,37,23,1
Roberto Firmino,br BRA,FW,Liverpool,29,1991,11,34,21,5,17,12,4,15,26.7,11,249,85,34.1,32,114,103,20,0,0,20,4,38,3,0
Junior Firpo,es ESP,DF,Leeds United,24,1996,19,73,38,41,27,5,33,68,48.5,35,356,103,28.9,184,130,42,37,8,1,29,33,106,46,0
Ashley Fletcher,eng ENG,FW,Watford,25,1995,0.3,2,2,2,0,0,1,1,100,0,9,1,11.1,5,3,1,1,1,0,0,0,2,0,0
Phil Foden,eng ENG,FW,Manchester City,21,2000,23.6,19,15,8,5,6,7,10,70,3,410,135,32.9,44,132,234,12,2,0,10,17,36,1,0
Wesley Fofana,fr FRA,DF,Leicester City,20,2000,7,10,5,9,1,0,7,9,77.8,2,56,22,39.3,38,18,0,6,2,0,4,16,26,28,1
Pablo Fornals,es ESP,FWMF,West Ham,25,1996,31.1,51,34,22,18,11,26,87,29.9,61,664,179,27,190,299,175,52,3,0,49,47,98,16,0
Adam Forshaw,eng ENG,MF,Leeds United,29,1991,17,51,28,20,29,2,21,48,43.8,27,408,124,30.4,127,215,66,19,1,0,18,30,81,20,1
Marcus Forss,fi FIN,FWMF,Brentford,22,1999,2.3,4,2,0,3,1,2,4,50,2,70,21,30,11,29,30,3,0,0,3,2,6,0,0
Fraser Forster,eng ENG,GK,Southampton,33,1988,19,1,0,1,0,0,0,1,0,1,3,1,33.3,3,0,0,0,0,0,0,0,1,4,1
Ben Foster,eng ENG,GK,Watford,38,1983,26,0,0,0,0,0,0,3,0,3,7,1,14.3,7,0,0,0,0,0,0,0,0,6,2
Tariqe Fosu,gh GHA,DF,Brentford,25,1995,0.2,0,0,0,0,0,0,0,,0,5,0,0,0,2,3,1,0,0,1,0,0,0,0
Ryan Fraser,sct SCO,FWMF,Newcastle Utd,27,1994,16.3,13,4,8,5,0,4,16,25,12,166,42,25.3,33,71,62,14,1,0,13,16,29,9,0
Fred,br BRA,MF,Manchester Utd,28,1993,22.5,66,38,29,28,9,19,71,26.8,52,554,141,25.5,193,298,63,47,14,0,33,49,115,30,0
Ryan Fredericks,eng ENG,DF,West Ham,28,1992,3.4,4,2,4,0,0,2,4,50,2,24,5,20.8,13,7,4,4,1,0,3,6,10,9,1
Leo Fuhr Hjelde,no NOR,DF,Leeds United,17,2003,1.7,4,2,4,0,0,3,3,100,0,30,11,36.7,13,12,5,3,3,0,0,4,8,8,0
Conor Gallagher,eng ENG,MF,Crystal Palace,21,2000,31.6,69,44,33,20,16,14,61,23,47,782,221,28.3,208,362,212,56,10,0,46,43,112,27,0
Alejandro Garnacho,es ESP,FW,Manchester Utd,17,2004,0.1,0,0,0,0,0,0,1,0,1,9,0,0,4,4,1,0,0,0,0,0,0,0,0
Dwight Gayle,eng ENG,FW,Newcastle Utd,30,1990,0.4,1,0,0,1,0,0,0,,0,18,5,27.8,1,12,5,0,0,0,0,1,2,0,0
Jean-Philippe Gbamin,ci CIV,MF,Everton,25,1995,0.7,2,1,1,1,0,0,1,0,1,14,7,50,8,3,3,0,0,0,0,0,2,1,0
David de Gea,es ESP,GK,Manchester Utd,30,1990,38,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Joe Gelhardt,eng ENG,FWMF,Leeds United,19,2002,8.3,12,6,4,2,6,3,10,30,7,204,68,33.3,19,93,92,8,0,0,8,4,16,3,0
Anwar El Ghazi,nl NED,FWMF,Aston Villa,26,1995,4.3,3,3,1,2,0,2,6,33.3,4,48,18,37.5,7,24,17,5,0,0,5,2,5,2,0
Anwar El Ghazi,nl NED,FW,Everton,26,1995,0.1,1,1,1,0,0,1,1,100,0,10,3,30,2,3,5,2,0,0,2,1,2,0,0
Saman Ghoddos,ir IRN,DFMF,Brentford,27,1993,6,17,8,8,7,2,8,12,66.7,4,117,26,22.2,37,48,32,13,0,0,13,7,24,13,0
Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,13,40,23,22,16,2,22,35,62.9,13,204,54,26.5,105,69,30,38,6,0,32,36,76,31,0
Morgan Gibbs-White,eng ENG,FWMF,Wolves,21,2000,0.1,0,0,0,0,0,0,0,,0,3,0,0,1,1,1,1,0,0,1,0,0,0,0
Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,21,17,16,5,0,5,11,45.5,6,152,51,33.6,97,49,6,56,33,0,23,48,69,159,1
Billy Gilmour,sct SCO,MF,Norwich City,20,2001,20.6,48,22,19,24,5,15,41,36.6,26,495,101,20.4,203,235,57,23,5,0,18,33,81,32,0
Ben Godfrey,eng ENG,DF,Everton,23,1998,22.5,53,26,29,19,5,16,30,53.3,14,266,89,33.5,134,109,23,48,20,0,28,48,101,98,3
André Gomes,pt POR,MF,Everton,28,1993,6.9,15,9,6,5,4,7,22,31.8,15,198,51,25.8,70,92,36,13,2,0,11,11,26,3,1
Toti Gomes,pt POR,DF,Wolves,22,1999,4,7,3,6,1,0,3,8,37.5,5,34,15,44.1,19,10,5,10,2,0,8,10,17,20,0
Joe Gomez,eng ENG,DF,Liverpool,24,1997,3.7,7,4,5,0,2,2,6,33.3,4,42,16,38.1,18,16,8,3,1,0,2,12,19,8,0
Charlie Goode,eng ENG,DF,Brentford,25,1995,5,8,5,6,2,0,4,4,100,0,36,15,41.7,20,13,3,5,2,0,3,5,13,12,0
Anthony Gordon,eng ENG,MFFW,Everton,20,2001,25.4,62,36,29,23,10,22,63,34.9,41,596,154,25.8,153,275,168,58,5,0,53,36,98,8,0
Kaide Gordon,eng ENG,FW,Liverpool,16,2004,0.1,1,0,0,0,1,1,1,100,0,6,3,50,0,1,5,0,0,0,0,0,1,0,0
Dan Gosling,eng ENG,MF,Watford,31,1990,1.8,2,1,2,0,0,1,6,16.7,5,28,7,25,9,13,6,1,0,0,1,1,3,3,0
Demarai Gray,eng ENG,MFFW,Everton,25,1996,26,33,19,13,12,8,15,32,46.9,17,339,109,32.2,83,133,123,38,2,0,36,16,49,15,1
Jack Grealish,eng ENG,FW,Manchester City,25,1995,21.3,20,15,4,12,4,3,12,25,9,269,105,39,39,90,140,20,2,0,18,16,36,7,0
Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,14.1,16,8,8,2,6,5,12,41.7,7,154,40,26,35,59,60,5,0,0,5,4,20,5,0
Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,2.6,8,2,0,7,1,3,7,42.9,4,73,16,21.9,7,42,24,2,1,0,1,2,10,3,0
Pascal Groß,de GER,MFDF,Brighton,30,1991,22.6,30,20,18,9,3,11,34,32.4,23,403,118,29.3,130,151,122,39,7,0,32,16,46,24,0
Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,29.5,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,35.8,33,22,23,9,1,11,17,64.7,6,223,91,40.8,142,70,11,46,29,0,17,57,90,139,0
Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,11.5,51,39,26,21,4,14,32,43.8,18,299,89,29.8,108,144,47,27,7,0,20,19,70,9,0
İlkay Gündoğan,de GER,MF,Manchester City,30,1990,20.6,21,11,9,11,1,9,25,36,16,196,56,28.6,50,93,53,19,3,1,16,27,48,10,0
Angus Gunn,eng ENG,GK,Norwich City,25,1996,9,0,0,0,0,0,0,0,,0,2,0,0,2,0,0,0,0,0,0,0,0,1,0
Grant Hanley,sct SCO,DF,Norwich City,29,1991,32.2,55,38,38,14,3,14,29,48.3,15,269,102,37.9,192,67,10,77,54,1,23,65,120,196,1
Jack Harrison,eng ENG,FWMF,Leeds United,24,1996,29.3,56,32,20,23,13,26,60,43.3,34,600,168,28,170,254,176,53,3,0,50,41,97,30,0
Kortney Hause,eng ENG,DF,Aston Villa,26,1995,4.4,4,4,3,0,1,2,2,100,0,47,21,44.7,30,16,1,10,5,0,5,9,13,19,0
Kai Havertz,de GER,FWMF,Chelsea,22,1999,20.1,21,13,4,12,5,5,18,27.8,13,352,95,27,36,128,188,37,1,0,36,6,27,30,0
Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,11.1,34,18,17,12,5,8,23,34.8,15,194,53,27.3,77,96,21,22,9,0,13,20,54,30,0
Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,20.2,28,14,9,17,2,13,36,36.1,23,272,64,23.5,53,133,86,14,0,0,14,25,53,8,1
Jordan Henderson,eng ENG,MF,Liverpool,31,1990,28.9,37,24,7,26,4,16,47,34,31,467,146,31.3,99,257,111,31,3,0,28,43,80,17,0
Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,0.8,1,1,0,1,0,1,1,100,0,16,2,12.5,2,11,3,0,0,0,0,0,1,1,0
Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,0,0,0,0,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
Rico Henry,eng ENG,DF,Brentford,24,1997,30.8,42,27,27,8,7,11,36,30.6,25,396,106,26.8,183,133,80,74,12,0,62,59,101,62,1
Son Heung-min,kr KOR,FWMF,Tottenham,29,1992,33.4,19,12,7,9,3,5,26,19.2,21,383,96,25.1,65,190,128,32,8,0,24,29,48,11,0
Ki-Jana Hoever,nl NED,DF,Wolves,19,2002,3.4,16,10,12,4,0,5,13,38.5,8,81,25,30.9,40,30,11,6,0,0,6,5,21,8,0
Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,35.5,84,49,28,45,11,29,80,36.3,51,669,176,26.3,255,319,95,73,13,0,60,70,154,61,0
Rob Holding,eng ENG,DF,Arsenal,25,1995,9.4,12,7,10,1,1,5,8,62.5,3,62,19,30.6,35,23,4,25,18,0,7,15,27,50,0
Mason Holgate,eng ENG,DF,Everton,24,1996,23.7,44,26,31,12,1,14,30,46.7,16,231,78,33.8,142,74,15,30,19,2,11,42,86,127,0
Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,20,2000,10.7,13,6,4,7,2,3,15,20,12,158,38,24.1,24,77,57,13,0,0,13,5,18,5,0
Will Hughes,eng ENG,MF,Crystal Palace,26,1995,11.7,29,15,9,17,3,7,19,36.8,12,217,57,26.3,72,125,20,25,7,0,18,21,50,14,0
Adam Idah,ie IRL,FWMF,Norwich City,20,2001,6.9,11,6,4,5,2,2,5,40,3,93,23,24.7,15,40,38,4,3,0,1,4,15,8,0
Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,14,15,9,2,9,4,4,12,33.3,8,244,65,26.6,17,111,116,16,1,0,15,4,19,10,0
Danny Ings,eng ENG,FW,Aston Villa,29,1992,21.1,26,11,6,14,6,11,28,39.3,17,385,89,23.1,52,165,168,30,4,0,26,15,41,19,0
Tim Iroegbunam,eng ENG,MF,Aston Villa,18,2003,1,5,2,3,2,0,1,2,50,1,24,8,33.3,6,16,2,1,0,0,1,2,7,1,0
Alex Iwobi,ng NGA,MFDF,Everton,25,1996,22.6,46,28,24,15,7,20,47,42.6,27,519,153,29.5,182,211,126,45,4,0,41,40,86,23,0
Daniel James,wls WAL,FWMF,Leeds United,23,1997,26.3,35,17,12,13,10,11,26,42.3,15,580,149,25.7,87,221,272,24,2,0,22,19,54,12,0
Daniel James,wls WAL,FW,Manchester Utd,23,1997,1.4,4,4,0,4,0,1,1,100,0,31,8,25.8,5,13,13,2,0,0,2,0,4,1,0
Reece James,eng ENG,DF,Chelsea,21,1999,20.7,39,23,22,14,3,8,25,32,17,265,93,35.1,98,107,60,29,3,1,26,21,60,21,0
Vitaly Janelt,de GER,MF,Brentford,23,1998,25.5,62,35,23,28,11,17,44,38.6,27,487,145,29.8,128,246,113,43,8,0,35,44,106,34,1
Pontus Jansson,se SWE,DF,Brentford,30,1991,36.9,36,25,27,8,1,17,36,47.2,19,204,75,36.8,120,71,13,56,27,0,29,69,105,208,2
Mathias Jensen,dk DEN,MF,Brentford,25,1996,17.8,34,28,12,17,5,19,61,31.1,42,456,133,29.2,166,214,76,33,4,0,29,33,67,14,1
Gabriel Jesus,br BRA,FW,Manchester City,24,1997,20.9,24,12,5,6,13,6,25,24,19,295,72,24.4,33,129,133,25,1,0,24,18,42,7,0
Raúl Jiménez,mx MEX,FW,Wolves,30,1991,29.2,33,23,4,18,11,4,21,19,17,445,108,24.3,41,234,170,36,8,1,28,19,52,27,0
João Pedro,br BRA,FWMF,Watford,19,2001,18.3,22,17,5,11,6,4,16,25,12,337,108,32,52,159,126,28,5,1,23,19,41,18,0
Joelinton,br BRA,MFFW,Newcastle Utd,24,1996,28.4,72,44,33,28,11,23,56,41.1,33,610,163,26.7,190,277,143,67,12,0,55,48,120,47,1
Ben Johnson,eng ENG,DF,West Ham,21,2000,15.5,30,16,14,12,4,17,30,56.7,13,172,61,35.5,87,53,32,49,10,1,39,25,55,49,0
Curtis Jones,eng ENG,MF,Liverpool,20,2001,9.5,12,9,3,8,1,2,9,22.2,7,212,61,28.8,37,116,59,5,0,0,5,10,22,2,0
Phil Jones,eng ENG,DF,Manchester Utd,29,1992,1.8,6,4,4,1,1,3,4,75,1,23,4,17.4,11,11,1,3,3,0,0,5,11,9,0
Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,5.8,11,2,4,4,3,6,9,66.7,3,54,13,24.1,28,19,7,8,1,0,7,10,21,14,0
Jorginho,it ITA,MF,Chelsea,29,1991,25.3,68,46,30,32,6,23,76,30.3,53,488,175,35.9,176,237,75,35,6,0,29,60,128,21,1
Diogo Jota,pt POR,FW,Liverpool,24,1996,26.3,36,21,14,15,7,10,47,21.3,37,589,164,27.8,98,237,254,19,3,0,16,17,53,6,0
James Justin,eng ENG,DF,Leicester City,23,1998,11.1,31,21,14,12,5,9,18,50,9,181,52,28.7,86,72,23,28,5,0,23,27,58,33,0
Ozan Kabak,tr TUR,DF,Norwich City,21,2000,10.2,13,11,6,6,1,4,9,44.4,5,94,38,40.4,65,27,2,19,12,0,7,22,35,29,0
Christian Kabasele,be BEL,DF,Watford,30,1991,13.3,10,6,7,3,0,3,5,60,2,83,35,42.2,57,24,2,33,17,0,16,26,36,58,2
Samuel Kalu,ng NGA,FW,Watford,23,1997,2.5,2,2,0,2,0,1,2,50,1,23,6,26.1,7,6,10,3,0,0,3,5,7,3,0
Hassane Kamara,ci CIV,DF,Watford,27,1994,18,61,29,38,18,5,24,40,60,16,300,75,25,177,101,22,33,5,0,28,94,155,57,0
Harry Kane,eng ENG,FW,Tottenham,28,1993,35.9,19,10,3,11,5,8,25,32,17,378,110,29.1,27,150,201,22,9,1,13,7,26,38,0
N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,19.7,57,34,22,22,13,19,38,50,19,385,134,34.8,123,180,82,37,2,0,35,44,101,14,0
Edo Kayembe,cd COD,MF,Watford,23,1998,8.9,21,15,10,9,2,5,10,50,5,127,47,37,63,59,5,13,1,0,12,14,35,20,0
Moise Kean,it ITA,FW,Everton,21,2000,0,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Michael Keane,eng ENG,DF,Everton,28,1993,31,49,35,35,12,2,25,43,58.1,18,228,93,40.8,131,81,16,51,32,0,19,62,111,149,2
Naby Keïta,gn GUI,MF,Liverpool,26,1995,13,47,28,19,19,9,18,35,51.4,17,321,107,33.3,74,161,86,24,2,0,22,20,67,4,0
Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Kenedy,br BRA,DF,Chelsea,25,1996,0.6,3,2,0,1,2,0,2,0,2,9,2,22.2,1,5,3,2,0,0,2,0,3,0,0
Jonjoe Kenny,eng ENG,DF,Everton,24,1997,11.3,19,12,9,9,1,14,28,50,14,141,51,36.2,64,64,13,17,2,0,15,32,51,21,0
Max Kilman,eng ENG,DF,Wolves,24,1997,29.9,53,33,40,13,0,20,33,60.6,13,240,92,38.3,159,70,11,52,21,0,31,64,117,118,1
Joshua King,no NOR,FW,Watford,29,1992,25,31,21,6,17,8,5,16,31.3,11,486,134,27.6,69,221,196,21,5,0,16,12,43,27,0
Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,0.4,0,0,0,0,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0,0,0
Mateusz Klich,pl POL,MF,Leeds United,31,1990,23,49,26,18,24,7,19,66,28.8,47,595,150,25.2,178,312,105,24,6,0,18,31,80,24,0
Robin Koch,de GER,MFDF,Leeds United,25,1996,17.5,31,20,15,11,5,12,36,33.3,24,299,100,33.4,135,131,33,33,11,1,22,34,65,46,0
Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,1,1,1,1,0,0,0,0,,0,12,3,25,7,3,2,2,0,0,2,4,5,8,0
Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11,14,8,6,7,1,3,7,42.9,4,86,23,26.7,44,36,6,15,10,1,5,28,42,47,0
Ezri Konsa,eng ENG,DF,Aston Villa,23,1997,27.5,26,14,15,10,1,7,13,53.8,6,179,64,35.8,106,60,13,43,22,0,21,45,71,81,2
Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,31,1989,21.9,60,34,32,26,2,15,34,44.1,19,393,115,29.3,193,177,23,59,17,0,42,45,105,54,0
Mateo Kovačić,hr CRO,MF,Chelsea,27,1994,17.3,52,40,15,27,10,17,33,51.5,16,379,115,30.3,97,214,68,18,4,0,14,20,72,13,1
Emil Krafth,se SWE,DF,Newcastle Utd,26,1994,18.2,39,20,29,9,1,21,39,53.8,18,232,64,27.6,112,95,25,38,10,0,28,48,87,53,0
Alex Král,cz CZE,MF,West Ham,23,1998,0,0,0,0,0,0,0,0,,0,2,2,100,0,1,1,0,0,0,0,0,0,0,0
Tim Krul,nl NED,GK,Norwich City,33,1988,29,0,0,0,0,0,0,3,0,3,9,2,22.2,9,0,0,1,0,0,1,0,0,0,4
Juraj Kucka,sk SVK,MF,Watford,34,1987,21.3,74,47,41,27,6,28,67,41.8,39,423,135,31.9,157,201,65,39,9,1,30,46,120,50,1
Dejan Kulusevski,se SWE,MFFW,Tottenham,21,2000,14,20,16,9,10,1,6,19,31.6,13,310,79,25.5,112,126,72,11,0,0,11,26,46,1,0
Alexandre Lacazette,fr FRA,FWMF,Arsenal,30,1991,19.8,26,19,7,13,6,7,15,46.7,8,358,108,30.2,47,126,185,13,2,0,11,13,39,6,0
