Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,Drib,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,Drib,Sh,Fld,Def
Saman Ghoddos,ir IRN,DFMF,Brentford,27,1993,6,25,4.2,18,2,0,1,3,1,2,0.34,1,0,0,0,1,0
Dimitris Giannoulis,gr GRE,DF,Norwich City,25,1995,13,17,1.31,14,1,0,0,2,0,2,0.15,2,0,0,0,0,0
Morgan Gibbs-White,eng ENG,FWMF,Wolves,21,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Gibson,eng ENG,DF,Norwich City,28,1993,27.7,11,0.4,10,0,0,0,0,1,1,0.04,1,0,0,0,0,0
Billy Gilmour,sct SCO,MF,Norwich City,20,2001,20.6,48,2.33,21,22,1,3,0,1,1,0.05,0,1,0,0,0,0
Ben Godfrey,eng ENG,DF,Everton,23,1998,22.5,31,1.38,24,2,1,2,0,2,2,0.09,1,0,0,1,0,0
André Gomes,pt POR,MF,Everton,28,1993,6.9,13,1.89,9,0,2,1,1,0,2,0.29,1,0,1,0,0,0
Toti Gomes,pt POR,DF,Wolves,22,1999,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Joe Gomez,eng ENG,DF,Liverpool,24,1997,3.7,8,2.18,7,0,0,0,1,0,2,0.54,2,0,0,0,0,0
Charlie Goode,eng ENG,DF,Brentford,25,1995,5,12,2.4,2,7,1,1,0,1,0,0,0,0,0,0,0,0
Anthony Gordon,eng ENG,MFFW,Everton,20,2001,25.4,73,2.88,38,14,5,2,12,2,5,0.2,1,2,0,0,2,0
Kaide Gordon,eng ENG,FW,Liverpool,16,2004,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dan Gosling,eng ENG,MF,Watford,31,1990,1.8,2,1.08,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Demarai Gray,eng ENG,MFFW,Everton,25,1996,26,83,3.2,48,13,12,4,6,0,6,0.23,3,1,1,1,0,0
Jack Grealish,eng ENG,FW,Manchester City,25,1995,21.3,110,5.17,87,1,5,5,11,1,7,0.33,7,0,0,0,0,0
Mason Greenwood,eng ENG,FWMF,Manchester Utd,19,2001,14.1,44,3.12,37,0,4,1,2,0,7,0.5,6,0,0,1,0,0
Sam Greenwood,eng ENG,MFFW,Leeds United,19,2002,2.6,6,2.28,5,0,0,1,0,0,2,0.76,2,0,0,0,0,0
Pascal Groß,de GER,MFDF,Brighton,30,1991,22.6,91,4.02,49,37,1,4,0,0,7,0.31,2,3,1,1,0,0
Vicente Guaita,es ESP,GK,Crystal Palace,34,1987,29.5,1,0.03,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Marc Guéhi,eng ENG,DF,Crystal Palace,21,2000,35.8,21,0.59,18,0,0,2,0,1,2,0.06,1,0,0,1,0,0
Bruno Guimarães,br BRA,MF,Newcastle Utd,23,1997,11.5,24,2.09,19,0,1,2,0,2,3,0.26,1,0,0,1,0,1
İlkay Gündoğan,de GER,MF,Manchester City,30,1990,20.6,72,3.49,53,12,5,1,0,1,7,0.34,6,0,1,0,0,0
Angus Gunn,eng ENG,GK,Norwich City,25,1996,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Grant Hanley,sct SCO,DF,Norwich City,29,1991,32.2,10,0.31,5,1,0,4,0,0,0,0,0,0,0,0,0,0
Jack Harrison,eng ENG,FWMF,Leeds United,24,1996,29.3,79,2.69,52,7,8,6,5,1,3,0.1,1,0,1,1,0,0
Kortney Hause,eng ENG,DF,Aston Villa,26,1995,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kai Havertz,de GER,FWMF,Chelsea,22,1999,20.1,53,2.64,40,0,2,6,5,0,7,0.35,4,0,1,1,1,0
Isaac Hayden,eng ENG,MFDF,Newcastle Utd,26,1995,11.1,6,0.54,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Hwang Hee-chan,kr KOR,FWMF,Wolves,25,1996,20.2,34,1.69,23,0,3,3,3,2,3,0.15,1,0,1,0,0,1
Jordan Henderson,eng ENG,MF,Liverpool,31,1990,28.9,78,2.7,71,4,2,0,0,1,11,0.38,11,0,0,0,0,0
Jeff Hendrick,ie IRL,MF,Newcastle Utd,29,1992,0.8,1,1.25,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Wayne Hennessey,wls WAL,GK,Burnley,34,1987,2,3,1.5,1,2,0,0,0,0,0,0,0,0,0,0,0,0
Rico Henry,eng ENG,DF,Brentford,24,1997,30.8,41,1.33,36,1,3,0,1,0,1,0.03,1,0,0,0,0,0
Son Heung-min,kr KOR,FWMF,Tottenham,29,1992,33.4,129,3.86,75,35,4,8,6,1,15,0.45,8,4,0,0,3,0
Ki-Jana Hoever,nl NED,DF,Wolves,19,2002,3.4,3,0.88,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Pierre Højbjerg,dk DEN,MF,Tottenham,25,1995,35.5,81,2.28,67,3,5,1,2,3,5,0.14,5,0,0,0,0,0
Rob Holding,eng ENG,DF,Arsenal,25,1995,9.4,3,0.32,3,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Holgate,eng ENG,DF,Everton,24,1996,23.7,3,0.13,3,0,0,0,0,0,1,0.04,1,0,0,0,0,0
Callum Hudson-Odoi,eng ENG,FWMF,Chelsea,20,2000,10.7,51,4.77,37,0,7,3,4,0,6,0.56,4,0,0,0,2,0
Will Hughes,eng ENG,MF,Crystal Palace,26,1995,11.7,20,1.71,12,3,0,0,2,3,3,0.26,1,1,0,0,1,0
Adam Idah,ie IRL,FWMF,Norwich City,20,2001,6.9,12,1.73,8,1,1,0,2,0,1,0.14,1,0,0,0,0,0
Kelechi Iheanacho,ng NGA,FW,Leicester City,24,1996,14,36,2.56,28,1,2,2,1,2,8,0.57,5,0,0,1,0,2
Danny Ings,eng ENG,FW,Aston Villa,29,1992,21.1,31,1.47,24,0,1,4,1,1,8,0.38,8,0,0,0,0,0
Tim Iroegbunam,eng ENG,MF,Aston Villa,18,2003,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex Iwobi,ng NGA,MFDF,Everton,25,1996,22.6,62,2.74,58,2,0,1,0,1,6,0.27,6,0,0,0,0,0
Daniel James,wls WAL,FWMF,Leeds United,23,1997,26.3,53,2.02,36,0,3,6,7,1,5,0.19,3,0,1,0,1,0
Daniel James,wls WAL,FW,Manchester Utd,23,1997,1.4,3,2.14,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Reece James,eng ENG,DF,Chelsea,21,1999,20.7,79,3.81,61,8,3,4,3,0,11,0.53,9,1,1,0,0,0
Vitaly Janelt,de GER,MF,Brentford,23,1998,25.5,53,2.08,40,3,2,4,3,1,4,0.16,3,0,0,1,0,0
Pontus Jansson,se SWE,DF,Brentford,30,1991,36.9,15,0.41,7,0,0,7,1,0,4,0.11,1,0,0,2,1,0
Mathias Jensen,dk DEN,MF,Brentford,25,1996,17.8,57,3.2,35,19,1,0,0,2,3,0.17,2,1,0,0,0,0
Gabriel Jesus,br BRA,FW,Manchester City,24,1997,20.9,78,3.74,52,0,13,7,4,2,18,0.86,11,0,2,1,2,2
Raúl Jiménez,mx MEX,FW,Wolves,30,1991,29.2,67,2.29,47,1,4,7,5,3,15,0.51,7,0,3,3,1,1
João Pedro,br BRA,FWMF,Watford,19,2001,18.3,49,2.68,33,0,7,4,4,1,4,0.22,3,0,0,1,0,0
Joelinton,br BRA,MFFW,Newcastle Utd,24,1996,28.4,64,2.25,44,0,3,8,6,3,6,0.21,4,0,0,1,1,0
Ben Johnson,eng ENG,DF,West Ham,21,2000,15.5,16,1.03,14,1,0,0,1,0,2,0.13,2,0,0,0,0,0
Curtis Jones,eng ENG,MF,Liverpool,20,2001,9.5,26,2.75,15,1,2,3,3,2,2,0.21,1,0,0,1,0,0
Phil Jones,eng ENG,DF,Manchester Utd,29,1992,1.8,2,1.1,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Mathias Jørgensen,dk DEN,DF,Brentford,31,1990,5.8,6,1.04,3,2,0,1,0,0,0,0,0,0,0,0,0,0
Jorginho,it ITA,MF,Chelsea,29,1991,25.3,60,2.38,52,1,1,2,2,2,8,0.32,8,0,0,0,0,0
Diogo Jota,pt POR,FW,Liverpool,24,1996,26.3,87,3.31,58,0,12,4,9,4,14,0.53,7,0,4,1,2,0
James Justin,eng ENG,DF,Leicester City,23,1998,11.1,16,1.44,15,0,0,0,1,0,1,0.09,1,0,0,0,0,0
Ozan Kabak,tr TUR,DF,Norwich City,21,2000,10.2,10,0.98,4,0,1,1,3,1,0,0,0,0,0,0,0,0
Christian Kabasele,be BEL,DF,Watford,30,1991,13.3,5,0.38,4,0,0,1,0,0,0,0,0,0,0,0,0,0
Samuel Kalu,ng NGA,FW,Watford,23,1997,2.5,6,2.43,3,0,0,0,2,1,0,0,0,0,0,0,0,0
Hassane Kamara,ci CIV,DF,Watford,27,1994,18,21,1.16,16,0,1,1,0,3,0,0,0,0,0,0,0,0
Harry Kane,eng ENG,FW,Tottenham,28,1993,35.9,117,3.26,86,2,10,11,6,2,21,0.58,17,0,1,3,0,0
N'Golo Kanté,fr FRA,MF,Chelsea,30,1991,19.7,61,3.1,52,0,4,2,0,3,13,0.66,11,0,1,1,0,0
Edo Kayembe,cd COD,MF,Watford,23,1998,8.9,13,1.46,12,0,0,1,0,0,0,0,0,0,0,0,0,0
Moise Kean,it ITA,FW,Everton,21,2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Michael Keane,eng ENG,DF,Everton,28,1993,31,14,0.45,9,2,0,3,0,0,1,0.03,1,0,0,0,0,0
Naby Keïta,gn GUI,MF,Liverpool,26,1995,13,43,3.3,33,0,3,4,0,3,6,0.46,4,0,1,1,0,0
Caoimhín Kelleher,ie IRL,GK,Liverpool,22,1998,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenedy,br BRA,DF,Chelsea,25,1996,0.6,3,4.66,2,0,0,1,0,0,1,1.55,1,0,0,0,0,0
Jonjoe Kenny,eng ENG,DF,Everton,24,1997,11.3,20,1.77,15,2,2,1,0,0,2,0.18,2,0,0,0,0,0
Max Kilman,eng ENG,DF,Wolves,24,1997,29.9,9,0.3,6,0,1,1,0,1,1,0.03,0,0,0,1,0,0
Joshua King,no NOR,FW,Watford,29,1992,25,60,2.4,46,0,4,4,5,1,7,0.28,5,0,1,1,0,0
Kristoffer Klaesson,no NOR,GK,Leeds United,20,2000,0.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Mateusz Klich,pl POL,MF,Leeds United,31,1990,23,68,2.95,54,3,3,4,3,1,6,0.26,5,0,0,1,0,0
Robin Koch,de GER,MFDF,Leeds United,25,1996,17.5,18,1.03,16,0,0,1,1,0,1,0.06,1,0,0,0,0,0
Sead Kolašinac,ba BIH,DF,Arsenal,28,1993,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ibrahima Konaté,fr FRA,DF,Liverpool,22,1999,11,6,0.55,6,0,0,0,0,0,2,0.18,2,0,0,0,0,0
Ezri Konsa,eng ENG,DF,Aston Villa,23,1997,27.5,10,0.36,8,0,0,1,0,1,0,0,0,0,0,0,0,0
Cheikhou Kouyaté,sn SEN,MF,Crystal Palace,31,1989,21.9,17,0.78,14,0,2,0,0,1,1,0.05,1,0,0,0,0,0
Mateo Kovačić,hr CRO,MF,Chelsea,27,1994,17.3,58,3.35,50,0,2,3,3,0,6,0.35,6,0,0,0,0,0
Emil Krafth,se SWE,DF,Newcastle Utd,26,1994,18.2,13,0.72,7,4,1,1,0,0,1,0.06,1,0,0,0,0,0
Alex Král,cz CZE,MF,West Ham,23,1998,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tim Krul,nl NED,GK,Norwich City,33,1988,29,5,0.17,3,2,0,0,0,0,0,0,0,0,0,0,0,0
Juraj Kucka,sk SVK,MF,Watford,34,1987,21.3,37,1.73,23,0,5,2,5,2,2,0.09,1,0,0,0,1,0
Dejan Kulusevski,se SWE,MFFW,Tottenham,21,2000,14,47,3.35,35,0,6,5,1,0,14,1,10,0,3,1,0,0
Alexandre Lacazette,fr FRA,FWMF,Arsenal,30,1991,19.8,65,3.28,43,0,7,4,9,2,9,0.45,6,0,0,1,1,1
Adam Lallana,eng ENG,MF,Brighton,33,1988,17.3,27,1.56,23,0,1,0,2,1,3,0.17,3,0,0,0,0,0
Tariq Lamptey,eng ENG,DFFW,Brighton,20,2000,17.3,47,2.71,33,0,4,3,4,3,2,0.12,2,0,0,0,0,0
Manuel Lanzini,ar ARG,MFFW,West Ham,28,1993,19.8,55,2.77,45,5,2,0,2,1,10,0.5,6,1,1,0,1,1
Aymeric Laporte,es ESP,DF,Manchester City,27,1994,31.4,30,0.95,26,0,0,3,1,0,4,0.13,2,0,0,1,1,0
Jamaal Lascelles,eng ENG,DF,Newcastle Utd,27,1993,22.9,6,0.26,6,0,0,0,0,0,1,0.04,1,0,0,0,0,0
Pierre Lees-Melou,fr FRA,MF,Norwich City,28,1993,25.2,52,2.07,44,1,1,1,1,4,1,0.04,0,0,0,0,1,0
Aaron Lennon,eng ENG,MF,Burnley,34,1987,17.2,32,1.86,20,0,5,1,6,0,5,0.29,1,0,2,0,2,0
Bernd Leno,de GER,GK,Arsenal,29,1992,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jamal Lewis,nir NIR,DF,Newcastle Utd,23,1998,2.9,2,0.69,2,0,0,0,0,0,1,0.34,1,0,0,0,0,0
Victor Lindelöf,se SWE,DF,Manchester Utd,27,1994,26.2,10,0.38,10,0,0,0,0,0,3,0.11,3,0,0,0,0,0
Jesse Lingard,eng ENG,FWMF,Manchester Utd,28,1992,4.1,15,3.68,12,0,0,2,1,0,1,0.25,0,0,0,1,0,0
Valentino Livramento,eng ENG,DF,Southampton,18,2002,24.5,40,1.63,37,0,1,0,2,0,2,0.08,1,0,0,0,1,0
Diego Llorente,es ESP,DF,Leeds United,27,1993,26,6,0.23,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Hugo Lloris,fr FRA,GK,Tottenham,34,1986,38,6,0.16,6,0,0,0,0,0,2,0.05,2,0,0,0,0,0
Giovani Lo Celso,ar ARG,MFFW,Tottenham,25,1996,2.6,10,3.78,5,2,0,1,2,0,0,0,0,0,0,0,0,0
Jürgen Locadia,nl NED,FW,Brighton,27,1993,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ruben Loftus-Cheek,eng ENG,MFDF,Chelsea,25,1996,15.5,52,3.36,39,0,3,4,3,3,7,0.45,4,0,0,2,0,1
Kevin Long,ie IRL,DF,Burnley,30,1990,4.6,1,0.22,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Shane Long,ie IRL,FW,Southampton,34,1987,3.4,5,1.46,2,0,0,0,3,0,0,0,0,0,0,0,0,0
Sean Longstaff,eng ENG,MF,Newcastle Utd,23,1997,16.3,24,1.48,20,1,0,1,0,2,4,0.25,3,0,0,0,0,1
Ademola Lookman,ng NGA,FWMF,Leicester City,23,1997,16.1,40,2.48,30,1,4,2,2,1,2,0.12,1,0,0,0,1,0
Jonas Lössl,dk DEN,GK,Brentford,32,1989,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Imran Louza,ma MAR,MF,Watford,22,1999,15.7,30,1.91,13,11,1,2,1,2,1,0.06,1,0,0,0,0,0
Matthew Lowton,eng ENG,DF,Burnley,32,1989,19.7,33,1.68,25,4,0,1,2,1,2,0.1,1,0,0,1,0,0
Douglas Luiz,br BRA,MF,Aston Villa,23,1998,30.2,75,2.49,46,19,1,3,6,0,8,0.27,3,2,0,2,1,0
Romelu Lukaku,be BEL,FW,Chelsea,28,1993,17.7,44,2.49,30,0,4,2,6,2,5,0.28,0,0,1,0,3,1
Lyanco,br BRA,DF,Southampton,24,1997,10.1,9,0.89,6,0,0,1,0,2,1,0.1,1,0,0,0,0,0
Alexis Mac Allister,ar ARG,MFFW,Brighton,22,1998,23.6,65,2.76,44,9,1,2,4,5,4,0.17,1,2,0,1,0,0
James Maddison,eng ENG,MFFW,Leicester City,24,1996,27.3,100,3.66,56,12,9,8,12,3,19,0.7,13,1,1,1,2,1
Harry Maguire,eng ENG,DF,Manchester Utd,28,1993,27.9,20,0.72,11,2,1,4,1,1,1,0.04,1,0,0,0,0,0
Riyad Mahrez,dz ALG,FW,Manchester City,30,1991,16.6,64,3.85,49,9,1,3,1,1,7,0.42,4,2,0,1,0,0
Ainsley Maitland-Niles,eng ENG,MF,Arsenal,23,1997,3,8,2.69,5,1,0,1,0,1,0,0,0,0,0,0,0,0
Sadio Mané,sn SEN,FW,Liverpool,29,1992,31.3,97,3.1,67,0,5,14,8,3,13,0.42,7,0,1,4,1,0
Javier Manquillo,es ESP,DF,Newcastle Utd,27,1994,14,9,0.64,8,0,0,0,1,0,4,0.29,3,0,0,0,1,0
Fernando Marçal,br BRA,DF,Wolves,32,1989,16.1,17,1.06,15,0,0,1,1,0,1,0.06,0,0,0,1,0,0
Solly March,eng ENG,DFFW,Brighton,27,1994,19.4,67,3.45,41,14,7,0,3,2,4,0.21,3,0,0,0,1,0
Pablo Marí,es ESP,DF,Arsenal,27,1993,2,1,0.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Anthony Martial,fr FRA,FW,Manchester Utd,25,1995,2.4,3,1.27,3,0,0,0,0,0,2,0.85,2,0,0,0,0,0
Martinelli,br BRA,FWMF,Arsenal,20,2001,20.7,70,3.39,47,4,8,7,2,2,11,0.53,6,2,1,2,0,0
Emiliano Martínez,ar ARG,GK,Aston Villa,28,1992,36,3,0.08,3,0,0,0,0,0,1,0.03,1,0,0,0,0,0
Adam Masina,ma MAR,DF,Watford,27,1994,12,11,0.92,6,3,0,0,1,1,1,0.08,1,0,0,0,0,0
Arthur Masuaku,cd COD,DFFW,West Ham,27,1993,7.2,6,0.83,4,2,0,0,0,0,2,0.28,1,1,0,0,0,0
Juan Mata,es ESP,MF,Manchester Utd,33,1988,2.6,6,2.3,6,0,0,0,0,0,0,0,0,0,0,0,0,0
Jean-Philippe Mateta,fr FRA,FW,Crystal Palace,24,1997,12.7,18,1.41,15,0,0,3,0,0,2,0.16,1,0,0,1,0,0
Nemanja Matić,rs SRB,MF,Manchester Utd,32,1988,15.4,28,1.82,25,0,0,0,1,2,5,0.33,5,0,0,0,0,0
Joël Matip,cm CMR,DF,Liverpool,29,1991,31,34,1.1,26,0,0,7,1,0,9,0.29,7,0,0,1,1,0
Neal Maupay,fr FRA,FW,Brighton,24,1996,25.3,64,2.53,46,0,7,6,5,0,3,0.12,3,0,0,0,0,0
Bryan Mbeumo,fr FRA,FW,Brentford,21,1999,32.3,77,2.39,49,9,8,5,5,1,12,0.37,10,1,0,0,1,0
James McArthur,sct SCO,MF,Crystal Palace,33,1987,16,29,1.81,25,1,1,0,1,1,3,0.19,3,0,0,0,0,0
James Mcatee,eng ENG,MFFW,Manchester City,18,2002,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kasey McAteer,eng ENG,FW,Leicester City,19,2001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Liam McCarron,sct SCO,FW,Leeds United,20,2001,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alex McCarthy,eng ENG,GK,Southampton,31,1989,17,1,0.06,1,0,0,0,0,0,0,0,0,0,0,0,0,0
John McGinn,sct SCO,MF,Aston Villa,26,1994,34.3,96,2.8,66,20,3,2,4,1,5,0.15,4,1,0,0,0,0
Stuart McKinstry,sct SCO,MF,Leeds United,18,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Kenny McLean,sct SCO,MF,Norwich City,29,1992,30.1,34,1.13,27,2,0,2,0,3,2,0.07,2,0,0,0,0,0
Dwight McNeil,eng ENG,MF,Burnley,21,1999,34.5,97,2.81,52,22,5,6,10,2,5,0.14,3,2,0,0,0,0
Scott McTominay,sct SCO,MF,Manchester Utd,24,1996,26.5,45,1.7,37,0,3,1,2,2,6,0.23,4,0,0,1,0,1
Ben Mee,eng ENG,DF,Burnley,31,1989,20.4,8,0.39,5,0,0,2,1,0,0,0,0,0,0,0,0,0
Hannibal Mejbri,tn TUN,FW,Manchester Utd,18,2003,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Benjamin Mendy,fr FRA,DF,Manchester City,27,1994,0.9,4,4.62,4,0,0,0,0,0,0,0,0,0,0,0,0,0
Edouard Mendy,sn SEN,GK,Chelsea,29,1992,34,2,0.06,2,0,0,0,0,0,0,0,0,0,0,0,0,0
Nampalys Mendy,sn SEN,MF,Leicester City,29,1992,11.5,6,0.52,5,0,0,0,0,1,3,0.26,3,0,0,0,0,0
Illan Meslier,fr FRA,GK,Leeds United,21,2000,37.6,2,0.05,1,1,0,0,0,0,0,0,0,0,0,0,0,0
Luka Milivojević,rs SRB,MF,Crystal Palace,30,1991,8.6,15,1.74,5,9,0,0,1,0,0,0,0,0,0,0,0,0
James Milner,eng ENG,MFDF,Liverpool,35,1986,9.5,31,3.27,23,6,1,1,0,0,1,0.11,1,0,0,0,0,0
Yerry Mina,co COL,DF,Everton,26,1994,9.4,3,0.32,2,0,0,0,0,1,0,0,0,0,0,0,0,0
Takumi Minamino,jp JPN,FWMF,Liverpool,26,1995,2.1,7,3.39,5,0,0,0,1,1,1,0.48,1,0,0,0,0,0
Tyrone Mings,eng ENG,DF,Aston Villa,28,1993,35.4,26,0.73,20,0,0,3,2,1,4,0.11,3,0,0,1,0,0
Tyrick Mitchell,eng ENG,DF,Crystal Palace,21,1999,34.5,41,1.19,35,2,1,1,1,1,5,0.15,5,0,0,0,0,0
Jakub Moder,pl POL,MFFW,Brighton,22,1999,18.9,37,1.96,23,3,3,6,0,2,4,0.21,3,0,0,1,0,0
Wesley Moraes,br BRA,FW,Aston Villa,24,1996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Tyler Morton,eng ENG,MF,Liverpool,18,2002,0.7,1,1.36,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mason Mount,eng ENG,MFFW,Chelsea,22,1999,26.3,111,4.23,72,21,5,8,4,1,15,0.57,9,4,0,1,1,0
Lucas Moura,br BRA,FWMF,Tottenham,28,1992,19.7,63,3.19,52,0,3,2,5,1,9,0.46,9,0,0,0,0,0
João Moutinho,pt POR,MF,Wolves,34,1986,33,68,2.06,44,18,1,2,0,3,4,0.12,3,1,0,0,0,0
Bali Mumba,eng ENG,DF,Norwich City,19,2001,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jacob Murphy,eng ENG,FWDF,Newcastle Utd,26,1995,16.4,45,2.75,34,2,4,4,1,0,5,0.31,2,0,0,2,1,0
Enock Mwepu,zm ZAM,MFFW,Brighton,23,1998,11.1,22,1.99,17,0,0,2,3,0,7,0.63,6,0,0,0,1,0
Vitaliy Mykolenko,ua UKR,DF,Everton,22,1999,11.7,14,1.19,8,4,0,0,1,1,3,0.26,1,1,0,0,1,0
Marvelous Nakamba,zw ZIM,MF,Aston Villa,27,1994,10,6,0.6,5,0,0,0,1,0,0,0,0,0,0,0,0,0
Wilfred Ndidi,ng NGA,MFDF,Leicester City,24,1996,18,14,0.78,9,0,0,3,1,1,2,0.11,1,0,0,1,0,0
Tanguy Ndombele,fr FRA,MF,Tottenham,24,1996,5.4,13,2.42,10,0,1,1,1,0,1,0.19,1,0,0,0,0,0
Reiss Nelson,eng ENG,FW,Arsenal,21,1999,0.2,3,13.5,2,0,0,1,0,0,0,0,0,0,0,0,0,0
Pedro Neto,pt POR,FWMF,Wolves,21,2000,5.2,23,4.44,13,4,2,2,2,0,1,0.19,1,0,0,0,0,0
Rúben Neves,pt POR,MF,Wolves,24,1997,29.6,55,1.86,45,2,1,3,2,2,3,0.1,3,0,0,0,0,0
Jeremy Ngakia,eng ENG,DF,Watford,20,2000,10,12,1.2,8,2,0,1,1,0,1,0.1,1,0,0,0,0,0
Saúl Ñíguez,es ESP,MFDF,Chelsea,26,1994,5.3,8,1.5,7,0,0,1,0,0,0,0,0,0,0,0,0,0
Eddie Nketiah,eng ENG,FW,Arsenal,22,1999,9.3,23,2.48,15,0,2,3,1,2,4,0.43,1,0,0,1,0,2
Nicolas Nkoulou,cm CMR,DF,Watford,31,1990,1.9,1,0.54,1,0,0,0,0,0,0,0,0,0,0,0,0,0
Mark Noble,eng ENG,MF,West Ham,34,1987,3.7,5,1.36,5,0,0,0,0,0,0,0,0,0,0,0,0,0
Christian Nørgaard,dk DEN,MF,Brentford,27,1994,33.9,49,1.44,43,0,3,1,1,1,6,0.18,5,0,1,0,0,0
