Player,Nation,Pos,Squad,Age,Born,90s,Att,Live,Dead,FK,TB,Press,Sw,Crs,CK,In,Out,Str,Ground,Low,High,Left,Right,Head,TI,Other,Cmp,Off,Out,Int,Blocks
Max Aarons,eng ENG,DF,Norwich City,21,2000,32,1440,1102,338,27,2,173,19,45,0,0,0,0,847,307,286,157,929,29,311,2,1087,7,28,52,56
Che Adams,sct SCO,FW,Southampton,25,1996,22.7,484,468,16,0,4,137,10,11,0,0,0,0,307,99,78,44,350,28,1,16,337,2,10,26,31
Rayan Aït Nouri,fr FRA,DF,Wolves,20,2001,20.3,1003,788,215,16,1,135,36,56,29,8,17,2,557,215,231,672,108,42,170,0,754,2,28,33,31
Kristoffer Ajer,no NOR,DF,Brentford,23,1998,22.2,873,721,152,8,0,138,15,12,0,0,0,0,449,217,207,42,577,63,144,2,629,4,23,33,40
Nathan Aké,nl NED,DF,Manchester City,26,1995,10.3,855,813,42,16,0,71,5,0,0,0,0,0,716,67,72,621,155,28,26,2,780,0,10,7,8
Marc Albrighton,eng ENG,FWDF,Leicester City,31,1989,12.6,551,450,101,15,0,96,33,31,37,26,6,1,308,111,132,39,437,20,48,1,345,5,5,31,38
Thiago Alcántara,es ESP,MF,Liverpool,30,1991,17,1479,1460,19,12,3,215,63,2,1,0,1,0,1139,138,202,97,1308,35,3,5,1325,2,15,42,23
Trent Alexander-Arnold,eng ENG,DF,Liverpool,22,1998,31.7,2706,2155,551,90,20,237,199,127,131,28,89,2,1403,476,827,279,2018,60,330,6,2013,6,38,102,77
Alisson,br BRA,GK,Liverpool,28,1992,36,1360,1127,233,62,2,96,37,0,0,0,0,0,969,68,323,100,1030,3,0,195,1178,0,18,19,0
Allan,br BRA,MF,Everton,30,1991,24.3,967,905,62,21,0,156,17,6,0,0,0,0,666,112,189,87,824,34,10,3,757,5,16,44,29
Dele Alli,eng ENG,MF,Everton,25,1996,3.8,152,140,12,2,1,34,1,4,1,0,0,0,110,24,18,5,132,4,4,1,114,3,3,9,5
Dele Alli,eng ENG,MFFW,Tottenham,25,1996,7.3,214,202,12,6,0,42,2,3,0,0,0,0,149,33,32,10,180,12,3,3,167,1,2,11,7
Miguel Almirón,py PAR,MFFW,Newcastle Utd,27,1994,19.1,505,496,9,2,1,86,5,22,1,1,0,0,403,47,55,457,21,15,5,3,406,2,7,14,20
Marcos Alonso,es ESP,DF,Chelsea,30,1990,24.1,1456,1162,294,26,1,234,50,64,65,34,23,2,867,292,297,1060,110,38,203,3,1132,3,25,48,42
Steven Alzate,co COL,MF,Brighton,22,1998,4.5,234,231,3,2,0,33,4,2,0,0,0,0,178,24,32,15,199,12,1,0,207,0,2,6,3
Daniel Amartey,gh GHA,DF,Leicester City,26,1994,23.6,1475,1447,28,21,0,137,23,0,0,0,0,0,1274,80,121,132,1259,55,6,3,1353,2,9,22,18
Joachim Andersen,dk DEN,DF,Crystal Palace,25,1996,32.4,2195,2113,82,74,2,186,110,14,1,0,0,1,1453,156,586,183,1838,110,4,7,1812,5,55,52,14
Michail Antonio,jm JAM,FW,West Ham,31,1990,33,708,671,37,3,7,220,22,54,1,0,0,0,405,157,146,105,493,28,15,8,466,6,19,34,55
Cameron Archer,eng ENG,MFFW,Aston Villa,19,2001,0.3,5,5,0,0,0,1,0,0,0,0,0,0,4,1,0,1,3,0,0,1,5,0,0,0,0
Alphonse Areola,fr FRA,GK,West Ham,28,1993,1,41,24,17,3,0,6,0,0,0,0,0,0,11,1,29,2,35,0,0,3,20,0,0,1,0
Adam Armstrong,eng ENG,FW,Southampton,24,1997,15.7,315,284,31,0,1,65,9,22,0,0,0,0,215,56,44,64,219,18,2,4,223,1,3,14,13
Stuart Armstrong,sct SCO,MF,Southampton,29,1992,16.4,734,702,32,2,1,124,9,32,2,0,1,0,564,95,75,125,577,16,7,5,583,3,10,38,23
Kepa Arrizabalaga,es ESP,GK,Chelsea,26,1994,4,139,110,29,8,0,18,4,0,0,0,0,0,95,7,37,13,96,0,0,28,115,0,3,0,0
Harrison Ashby,sct SCO,DF,West Ham,19,2001,0.1,8,7,1,0,0,0,0,0,0,0,0,0,5,2,1,0,6,1,1,0,7,0,0,0,0
Pierre-Emerick Aubameyang,ga GAB,FW,Arsenal,32,1989,11.5,205,198,7,0,1,62,3,9,0,0,0,0,120,47,38,27,151,8,1,1,145,1,2,8,11
Jordan Ayew,gh GHA,FW,Crystal Palace,29,1991,22.4,745,732,13,2,1,136,15,50,1,0,0,0,533,108,104,37,638,28,10,7,570,2,13,27,42
Luke Ayling,eng ENG,DF,Leeds United,29,1991,25.2,1558,1384,174,36,2,209,48,25,0,0,0,0,939,247,372,137,1184,64,137,6,1218,9,29,70,26
César Azpilicueta,es ESP,DF,Chelsea,31,1989,23,1713,1560,153,27,0,158,12,37,0,0,0,0,1242,217,254,126,1354,79,126,3,1442,7,19,56,39
Daniel Bachmann,at AUT,GK,Watford,27,1994,12,357,234,123,36,0,19,8,0,0,0,0,0,115,16,226,20,261,0,0,44,211,2,14,4,1
Leon Bailey,jm JAM,FWMF,Aston Villa,23,1997,8.5,224,206,18,1,0,39,11,21,12,11,1,0,130,42,52,153,54,5,4,1,149,0,4,7,15
Eric Bailly,ci CIV,DF,Manchester Utd,27,1994,2.4,80,76,4,4,0,10,2,0,0,0,0,0,56,6,18,16,52,7,0,1,64,0,1,2,2
Folarin Balogun,eng ENG,FW,Arsenal,20,2001,0.8,8,8,0,0,0,3,0,0,0,0,0,0,4,3,1,1,6,1,0,0,4,0,0,2,0
Patrick Bamford,eng ENG,FW,Leeds United,27,1993,6.2,103,87,16,0,1,19,4,4,0,0,0,0,76,18,9,74,18,8,1,1,85,0,4,1,4
Shandon Baptiste,gd GRN,MF,Brentford,23,1998,10.1,306,303,3,1,1,58,3,5,0,0,0,0,232,34,40,43,241,11,2,1,255,0,5,11,4
Ross Barkley,eng ENG,MF,Chelsea,27,1993,2,127,120,7,0,3,32,4,1,7,0,5,1,99,11,17,15,103,3,0,0,105,0,1,5,4
Ashley Barnes,eng ENG,FW,Burnley,31,1989,9,199,196,3,0,0,90,4,4,0,0,0,0,113,46,40,28,113,18,0,3,130,6,10,6,8
Harvey Barnes,eng ENG,FWMF,Leicester City,23,1997,23.3,751,744,7,0,3,172,14,40,0,0,0,0,533,111,107,82,614,26,5,4,557,2,12,38,33
Lewis Bate,eng ENG,MF,Leeds United,18,2002,1.6,54,54,0,0,0,11,2,0,0,0,0,0,38,9,7,41,10,2,0,0,41,0,1,5,0
Mads Bech Sørensen,dk DEN,DF,Brentford,22,1999,9.3,500,425,75,4,0,37,3,19,0,0,0,0,326,44,130,331,61,28,71,0,387,1,7,12,12
Jan Bednarek,pl POL,DF,Southampton,25,1996,29.2,1431,1349,82,42,0,184,33,6,0,0,0,0,974,121,336,202,1029,96,39,4,1185,1,32,17,10
Donny van de Beek,nl NED,MF,Everton,24,1997,5.4,241,235,6,1,0,38,2,6,1,1,0,0,193,17,31,33,191,11,1,0,202,1,4,8,4
Donny van de Beek,nl NED,MF,Manchester Utd,24,1997,0.8,32,32,0,0,1,8,0,0,0,0,0,0,27,3,2,4,26,0,0,0,25,1,0,2,1
Asmir Begović,ba BIH,GK,Everton,34,1987,3,84,45,39,8,0,4,1,0,0,0,0,0,11,4,69,3,64,1,0,4,35,0,4,1,3
Saïd Benrahma,dz ALG,FWMF,West Ham,25,1995,24.1,831,810,21,4,2,151,19,64,1,0,0,0,611,105,115,135,648,25,4,7,625,1,20,39,34
Rodrigo Bentancur,uy URU,MF,Tottenham,24,1997,15.1,1015,995,20,17,2,134,23,10,0,0,0,0,865,60,90,190,781,24,3,1,905,0,6,20,21
Christian Benteke,be BEL,FW,Crystal Palace,30,1990,12.7,300,279,21,1,1,113,6,2,0,0,0,0,151,80,69,18,176,33,3,4,205,3,8,15,8
Jóhann Berg Guðmundsson,is ISL,MF,Burnley,30,1990,12.2,345,342,3,0,2,77,15,42,1,1,0,0,191,57,97,253,44,27,1,3,218,3,8,11,22
Steven Bergwijn,nl NED,FWMF,Tottenham,23,1997,6.3,178,171,7,1,1,32,2,6,1,1,0,0,140,19,19,8,158,5,5,1,148,0,3,10,6
Ryan Bertrand,eng ENG,DF,Leicester City,31,1989,3.7,191,143,48,4,0,24,6,1,10,4,4,1,115,48,28,136,11,9,34,0,154,0,4,6,8
Mads Bidstrup,dk DEN,MF,Brentford,20,2001,0.5,11,11,0,0,0,1,0,0,0,0,0,0,7,2,2,3,7,1,0,0,8,0,0,0,0
Yves Bissouma,ml MLI,MF,Brighton,24,1996,23.5,1183,1161,22,20,1,159,28,5,0,0,0,0,1003,87,93,123,1003,33,2,7,1061,2,7,30,16
Willy Boly,ci CIV,DF,Wolves,30,1991,10,541,523,18,13,0,51,2,0,0,0,0,0,413,27,101,45,451,23,4,1,450,1,13,12,3
Jarrod Bowen,eng ENG,FW,West Ham,24,1996,33.1,862,746,116,19,5,176,80,57,84,70,2,4,515,133,214,634,161,23,4,6,586,3,15,36,41
Jarrad Branthwaite,eng ENG,DF,Everton,19,2002,4.3,116,109,7,6,0,23,1,0,0,0,0,0,71,19,26,61,36,11,1,0,85,0,8,4,3
Armando Broja,al ALB,FW,Southampton,19,2001,21.9,404,399,5,0,0,146,2,19,0,0,0,0,214,105,85,23,238,58,0,3,250,0,9,23,18
Josh Brownhill,eng ENG,MF,Burnley,25,1995,32.8,1191,1122,69,25,2,217,43,25,22,17,2,3,693,167,331,116,912,99,6,5,900,11,18,35,28
Lewis Brunt,eng ENG,MF,Leicester City,20,2000,0.3,21,21,0,0,0,3,1,0,0,0,0,0,19,1,1,3,18,0,0,0,21,0,0,0,0
Bryan,es ESP,FWMF,Tottenham,20,2001,1,63,60,3,1,0,7,0,4,0,0,0,0,53,6,4,60,1,0,2,0,49,0,0,6,2
Emi Buendía,ar ARG,FWMF,Aston Villa,24,1996,21.1,876,821,55,12,10,188,26,19,17,8,4,1,671,106,99,105,723,15,9,7,697,4,17,49,21
Dan Burn,eng ENG,DF,Brighton,29,1992,11.4,624,605,19,12,1,55,13,1,0,0,0,0,462,48,114,497,59,39,6,2,507,2,11,16,9
Dan Burn,eng ENG,DF,Newcastle Utd,29,1992,16,574,566,8,5,0,94,7,1,0,0,0,0,375,61,138,391,69,60,3,3,460,0,18,8,10
Jack Butland,eng ENG,GK,Crystal Palace,28,1993,8.5,279,188,91,25,0,16,5,0,0,0,0,0,174,1,104,64,171,0,0,35,205,0,4,1,1
Sam Byram,eng ENG,DF,Norwich City,27,1993,11.4,486,417,69,7,0,50,5,8,0,0,0,0,307,88,91,37,335,34,62,1,380,1,23,11,13
Willy Caballero,ar ARG,GK,Southampton,39,1981,2,59,41,18,5,0,1,1,0,0,0,0,0,17,0,42,7,50,0,0,0,39,0,2,1,0
Moisés Caicedo,ec ECU,MF,Brighton,19,2001,7.3,274,273,1,1,0,72,1,2,0,0,0,0,204,36,34,37,209,17,0,1,224,1,2,16,3
Dominic Calvert-Lewin,eng ENG,FW,Everton,24,1997,14.3,292,279,13,0,0,142,0,3,0,0,0,0,122,110,60,21,140,32,1,22,180,1,6,14,14
Chem Campbell,wls WAL,MF,Wolves,18,2002,0.1,10,9,1,0,0,3,0,0,0,0,0,0,8,1,1,2,6,1,1,0,9,0,0,0,0
João Cancelo,pt POR,DF,Manchester City,27,1994,35.9,3282,2944,338,51,6,295,99,103,1,1,0,0,2279,492,511,377,2479,97,286,7,2752,9,54,107,70
Sergi Canós,es ESP,DF,Brentford,24,1997,23.1,748,696,52,10,4,133,25,52,15,10,3,0,403,127,218,91,586,34,26,2,452,1,24,36,59
Todd Cantwell,eng ENG,FWMF,Norwich City,23,1998,4.9,154,148,6,3,2,21,2,3,0,0,0,0,108,25,21,15,124,8,3,1,127,0,1,6,3
Matty Cash,pl POL,DF,Aston Villa,23,1997,37.5,1586,1243,343,35,1,165,50,94,1,0,0,0,819,284,483,139,1030,81,307,3,1120,4,33,49,57
Timothy Castagne,be BEL,DF,Leicester City,25,1995,23.6,1292,1095,197,8,1,192,12,27,2,1,1,0,817,250,225,135,861,82,187,4,1068,2,17,41,33
Jonny Castro,es ESP,DF,Wolves,27,1994,11.4,600,502,98,9,1,85,7,10,0,0,0,0,412,118,70,105,383,15,89,0,506,0,3,27,16
Craig Cathcart,nir NIR,DF,Watford,32,1989,26.6,917,865,52,10,0,112,45,3,0,0,0,0,553,92,272,178,586,80,42,0,742,2,18,14,9
Edinson Cavani,uy URU,FW,Manchester Utd,34,1987,8.5,225,218,7,1,0,36,9,3,0,0,0,0,164,33,28,45,154,8,1,14,180,0,3,8,2
Kayky Chagas,br BRA,FW,Manchester City,18,2003,0.1,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,1,0,0,0,2,0,0,0,0
Trevoh Chalobah,eng ENG,DF,Chelsea,22,1999,16.1,1239,1206,33,25,2,109,8,3,0,0,0,0,1051,76,112,52,1096,57,8,5,1138,1,7,15,7
Calum Chambers,eng ENG,DF,Aston Villa,26,1995,9.2,460,446,14,12,1,47,5,2,0,0,0,0,323,37,100,20,396,24,2,1,384,1,5,3,7
Calum Chambers,eng ENG,DF,Arsenal,26,1995,1.9,98,83,15,4,0,10,1,2,0,0,0,0,60,22,16,4,76,4,11,1,81,0,3,4,1
Daniel Chesters,eng ENG,MF,West Ham,19,2002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ben Chilwell,eng ENG,DF,Chelsea,24,1996,6,344,266,78,10,0,53,5,10,25,16,2,1,221,48,75,236,51,10,43,1,265,1,2,7,15
Chiquinho,pt POR,DFMF,Wolves,21,2000,2.3,108,98,10,1,0,15,8,21,1,0,1,0,53,28,27,6,82,8,8,1,72,0,2,5,7
Hamza Choudhury,eng ENG,DFMF,Leicester City,23,1997,3.2,158,146,12,3,0,38,1,0,0,0,0,0,111,21,26,8,120,11,8,0,129,0,8,3,3
Andreas Christensen,dk DEN,DF,Chelsea,25,1996,16.6,1276,1229,47,32,1,149,20,2,0,0,0,0,1063,88,125,79,1110,40,14,4,1166,0,10,17,8
Carney Chukwuemeka,lk SRI,MFFW,Aston Villa,17,2003,3.3,120,119,1,1,0,19,0,0,0,0,0,0,105,7,8,7,106,3,0,1,98,1,1,7,3
Ciaran Clark,ie IRL,DF,Newcastle Utd,31,1989,11.3,348,340,8,6,0,37,3,3,0,0,0,0,239,38,71,247,59,22,2,1,276,3,10,7,5
Tom Cleverley,eng ENG,MF,Watford,31,1989,18,626,548,78,25,2,99,19,19,33,21,10,0,351,106,169,75,485,40,7,4,461,2,12,21,9
Nathaniel Clyne,eng ENG,DF,Crystal Palace,30,1991,15,718,555,163,13,1,103,5,13,0,0,0,0,431,124,163,23,517,15,150,4,563,1,6,23,22
Conor Coady,eng ENG,DF,Wolves,28,1993,37.3,1632,1592,40,39,0,126,53,2,0,0,0,0,1282,83,267,63,1489,64,0,2,1471,3,17,21,10
Séamus Coleman,ie IRL,DF,Everton,32,1988,29.5,1237,965,272,15,1,179,17,40,0,0,0,0,616,238,383,207,683,68,257,1,913,4,34,46,31
Nathan Collins,ie IRL,DF,Burnley,20,2001,18.6,642,615,27,11,2,102,23,4,0,0,0,0,339,81,222,48,458,69,16,1,463,2,25,12,5
Aaron Connolly,ie IRL,FW,Brighton,21,2000,1.7,18,17,1,0,0,6,0,1,0,0,0,0,15,3,0,1,15,0,0,2,15,0,0,1,1
Liam Cooper,sct SCO,DF,Leeds United,29,1991,20.2,1122,1084,38,33,0,120,28,1,0,0,0,0,808,116,198,847,128,87,5,11,957,2,20,16,13
Jack Cork,eng ENG,MF,Burnley,32,1989,18.6,573,566,7,3,0,108,19,7,0,0,0,0,380,67,126,53,443,41,1,3,432,3,10,26,19
Maxwel Cornet,ci CIV,FWMF,Burnley,24,1996,19.6,434,390,44,2,2,118,19,22,34,24,5,2,274,70,90,291,78,21,5,6,285,0,4,24,18
Hélder Costa,ao ANG,MF,Leeds United,27,1994,0.2,4,4,0,0,0,1,0,0,0,0,0,0,3,1,0,3,1,0,0,0,4,0,0,0,0
Vladimír Coufal,cz CZE,DF,West Ham,28,1992,24.5,1417,1125,292,18,0,146,21,80,1,1,0,0,629,354,434,120,887,99,273,9,982,8,30,48,57
Philippe Coutinho,br BRA,MFFW,Aston Villa,29,1992,14.8,641,609,32,7,3,114,12,13,6,3,3,0,489,55,97,35,573,16,3,8,527,5,11,23,17
Aaron Cresswell,eng ENG,DF,West Ham,31,1989,30.3,2047,1705,342,57,0,209,48,63,52,13,39,0,1268,350,429,1617,120,46,233,7,1641,10,29,57,56
Charlie Cresswell,eng ENG,DF,Leeds United,18,2002,1.6,96,95,1,1,0,8,2,0,0,0,0,0,59,10,27,7,77,11,0,0,72,1,1,0,2
Cucho,co COL,FWMF,Watford,22,1999,12.7,394,354,40,8,3,88,18,26,15,6,7,0,208,82,104,49,283,25,7,3,254,0,11,17,28
Marc Cucurella,es ESP,DF,Brighton,23,1998,34.3,2322,1956,366,19,1,328,38,94,5,3,0,0,1509,463,350,1486,379,69,342,9,1895,6,28,76,82
Luke Cundle,eng ENG,MF,Wolves,19,2002,2,106,103,3,1,1,12,3,0,2,2,0,0,92,6,8,21,82,3,0,0,96,0,1,3,1
Patson Daka,zm ZAM,FW,Leicester City,22,1998,12.9,223,201,22,0,1,69,0,4,0,0,0,0,164,37,22,50,146,6,1,3,172,0,2,14,9
Stuart Dallas,nir NIR,DFMF,Leeds United,30,1991,32.4,1667,1335,332,45,3,221,61,43,55,36,12,1,978,377,312,292,1057,59,232,3,1313,7,30,49,52
Diogo Dalot,pt POR,DF,Manchester Utd,22,1999,20,1171,987,184,11,3,143,45,46,2,0,2,0,677,210,284,95,837,43,171,3,934,3,16,43,26
Karl Darlow,eng ENG,GK,Newcastle Utd,30,1990,8,253,152,101,37,0,16,19,0,0,0,0,0,70,12,171,10,198,0,0,29,152,1,7,1,1
Josh Dasilva,eng ENG,MFFW,Brentford,22,1998,2.9,88,85,3,0,0,19,0,4,0,0,0,0,69,9,10,64,16,5,2,0,71,0,1,4,2
Ben Davies,wls WAL,DF,Tottenham,28,1993,28.2,1600,1518,82,35,0,169,31,9,0,0,0,0,1251,127,222,1260,182,61,47,1,1375,1,18,40,34
Tom Davies,eng ENG,MF,Everton,23,1998,2.6,79,78,1,0,0,22,2,0,0,0,0,0,56,13,10,14,61,1,0,0,60,1,5,0,5
Keinan Davis,eng ENG,FW,Aston Villa,23,1998,0.1,3,3,0,0,0,0,0,0,0,0,0,0,1,2,0,2,0,1,0,0,3,0,0,0,0
Craig Dawson,eng ENG,DF,West Ham,31,1990,30.6,1234,1203,31,26,0,161,38,1,0,0,0,0,837,130,267,49,1029,83,3,11,1015,4,31,30,8
Kevin De Bruyne,be BEL,MF,Manchester City,30,1991,24.5,1553,1382,171,49,10,207,79,101,99,39,17,13,1103,144,306,164,1328,28,19,2,1172,9,33,72,52
Troy Deeney,eng ENG,FW,Watford,33,1988,0.3,6,6,0,0,0,1,0,0,0,0,0,0,1,4,1,0,3,2,0,0,3,0,0,0,0
Liam Delap,eng ENG,FW,Manchester City,18,2003,0.1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0
Fabian Delph,eng ENG,MF,Everton,31,1989,7.4,308,303,5,4,0,63,10,1,0,0,0,0,231,22,55,208,83,10,1,1,263,1,2,6,6
Leander Dendoncker,be BEL,MF,Wolves,26,1995,21.7,812,799,13,10,0,128,12,9,0,0,0,0,631,82,99,137,592,47,3,4,709,1,5,26,11
Emmanuel Dennis,ng NGA,FWMF,Watford,23,1997,28.7,633,598,35,1,2,160,9,29,6,1,3,0,424,137,72,78,473,23,8,8,431,4,14,38,43
Kiernan Dewsbury-Hall,eng ENG,MF,Leicester City,22,1998,23.4,1220,1172,48,13,0,251,39,50,25,20,0,0,934,126,160,1026,126,41,9,2,941,6,23,52,40
Ibrahima Diallo,fr FRA,MF,Southampton,22,1999,11.4,438,433,5,5,1,86,5,7,0,0,0,0,344,40,54,43,369,17,0,0,357,1,7,18,14
Rúben Dias,pt POR,DF,Manchester City,24,1997,26.7,2224,2175,49,36,3,161,46,5,0,0,0,0,1924,102,198,341,1769,64,12,4,2097,2,13,18,11
Luis Díaz,co COL,FW,Liverpool,24,1997,10.6,448,447,1,0,2,75,7,22,0,0,0,0,366,44,38,62,360,14,1,5,394,0,2,18,7
Eric Dier,eng ENG,DF,Tottenham,27,1994,34.1,2226,2174,52,42,4,163,59,3,0,0,0,0,1760,120,346,302,1776,91,5,6,1969,7,27,36,16
Lucas Digne,fr FRA,DF,Aston Villa,28,1993,14.1,823,628,195,19,0,107,32,62,39,13,12,2,440,185,198,607,28,33,137,2,632,0,12,25,30
Lucas Digne,fr FRA,DF,Everton,28,1993,13,678,515,163,23,0,90,16,34,21,3,13,1,335,140,203,464,29,47,119,2,487,3,19,26,35
Issa Diop,fr FRA,DF,West Ham,24,1997,10.7,469,455,14,7,1,48,5,1,0,0,0,0,362,26,81,92,336,24,1,3,404,0,9,4,1
Moussa Djenepo,ml MLI,MF,Southampton,23,1998,5.1,149,148,1,1,0,26,1,6,0,0,0,0,106,21,22,26,116,5,0,0,111,0,3,5,11
Lewis Dobbin,eng ENG,FWMF,Everton,18,2003,0.4,7,7,0,0,0,2,0,1,0,0,0,0,4,2,1,0,7,0,0,0,4,0,0,1,0
Matt Doherty,ie IRL,DF,Tottenham,29,1992,9.7,538,473,65,5,2,72,13,20,0,0,0,0,372,97,69,30,418,16,60,1,440,1,5,29,17
Gabriel Dos Santos,br BRA,DF,Arsenal,23,1997,34,2002,1943,59,36,1,178,38,4,0,0,0,0,1652,136,214,1748,144,65,4,10,1796,6,29,25,13
Abdoulaye Doucouré,ml MLI,MF,Everton,28,1993,28.2,1095,1076,19,12,2,248,12,8,0,0,0,0,805,160,130,108,887,56,2,5,877,2,17,44,33
Kieran Dowell,eng ENG,FWMF,Norwich City,23,1997,10.1,342,312,30,11,3,71,15,20,16,12,3,0,224,35,83,260,51,15,0,4,235,2,5,18,18
Cody Drameh,eng ENG,DF,Leeds United,19,2001,1.4,77,51,26,1,0,6,0,2,0,0,0,0,38,25,14,2,46,3,25,1,60,0,0,3,5
Martin Dúbravka,sk SVK,GK,Newcastle Utd,32,1989,26,845,503,342,105,0,59,23,0,0,0,0,0,304,11,530,44,669,0,0,86,535,5,18,5,2
Shane Duffy,ie IRL,DF,Brighton,29,1992,16,1007,987,20,12,0,82,26,0,0,0,0,0,791,64,152,71,839,57,7,3,894,1,16,13,6
Paul Dummett,wls WAL,DF,Newcastle Utd,29,1991,2.2,68,49,19,1,0,7,1,3,0,0,0,0,35,11,22,40,2,5,18,0,51,0,0,4,1
